NREL's S805A Airfoil
   x/c	    y/c
1.00000	 0.00000
0.98999	 0.00155
0.97999	 0.00344
0.97000	 0.00551
0.95000	 0.00984
0.93001	 0.01414
0.90001	 0.02014
0.85000	 0.02918
0.80000	 0.03779
0.75000	 0.04626
0.70000	 0.05461
0.65001	 0.06273
0.60001	 0.07048
0.55002	 0.07756
0.50002	 0.08340
0.45001	 0.08732
0.40000	 0.08893
0.35000	 0.08831
0.30000	 0.08579
0.24999	 0.08144
0.19998	 0.07514
0.14998	 0.06657
0.11997	 0.06007
0.09995	 0.05500
0.07997	 0.04920
0.05998	 0.04241
0.04991	 0.03849
0.03998	 0.03416
0.02988	 0.02914
0.01992	 0.02331
0.00998	 0.01581
0.00269	 0.00731
0.00000	 0.00000
0.00001	-0.00031
0.00296	-0.00619
0.00997	-0.01061
0.01994	-0.01432
0.02998	-0.01737
0.03995	-0.01976
0.05000	-0.02178
0.05998	-0.02359
0.07999	-0.02675
0.09999	-0.02942
0.11999	-0.03175
0.14999	-0.03475
0.19999	-0.03876
0.25000	-0.04180
0.30000	-0.04401
0.35000	-0.04547
0.40000	-0.04620
0.45000	-0.04600
0.50000	-0.04546
0.55000	-0.04384
0.60001	-0.04108
0.65001	-0.03696
0.70001	-0.03156
0.75000	-0.02519
0.80000	-0.01816
0.84999	-0.01111
0.89999	-0.00499
0.92999	-0.00212
0.95000	-0.00069
0.97000	 0.00021
0.98000	 0.00040
0.99000	 0.00036
1.00000	 0.00000
