NREL's S819 Airfoil
   x/c        y/c
1.000000   0.000000
0.996227   0.000610
0.985332   0.002884
0.968321   0.007082
0.946197   0.012848
0.919582   0.019478
0.888601   0.026289
0.853100   0.033195
0.813514   0.040423
0.770468   0.047944
0.724602   0.055635
0.676568   0.063323
0.627010   0.070795
0.576554   0.077814
0.525799   0.084135
0.475305   0.089511
0.425591   0.093712
0.377132   0.096532
0.330358   0.097800
0.285654   0.097385
0.243383   0.095223
0.203951   0.091061
0.167070   0.084912
0.133009   0.077309
0.102158   0.068539
0.074857   0.058848
0.051442   0.048461
0.032137   0.037616
0.017236   0.026575
0.006778   0.015626
0.001025   0.005430
0.000016   0.000630
0.000085  -0.001387
0.000273  -0.002303
0.000507  -0.002953
0.000592  -0.003128
0.001122  -0.003890
0.001853  -0.004672
0.003801  -0.006327
0.009034  -0.009898
0.025086  -0.020533
0.044690  -0.033671
0.067554  -0.047997
0.092912  -0.062604
0.120577  -0.076796
0.150045  -0.089856
0.181072  -0.101107
0.213187  -0.109658
0.246621  -0.113752
0.283625  -0.113579
0.323851  -0.110343
0.367148  -0.104334
0.413252  -0.096074
0.461795  -0.086042
0.512331  -0.074750
0.564325  -0.062742
0.617142  -0.050578
0.670041  -0.038808
0.722180  -0.027942
0.772632  -0.018422
0.820407  -0.010583
0.864481  -0.004633
0.903842  -0.000629
0.937525   0.001531
0.964668   0.002098
0.984436   0.001434
0.996165   0.000438
1.000000   0.000000
