MID H2A
1.00000000 0.00038603
0.99332943 0.00091908
0.98129541 0.00187516
0.96675517 0.00302426
0.95013776 0.00432837
0.93218624 0.00572949
0.91354465 0.00717461
0.89459004 0.00863573
0.87549742 0.01009586
0.85634279 0.01154898
0.83715916 0.01298410
0.81796253 0.01441323
0.79875789 0.01582334
0.77955226 0.01722546
0.76036163 0.01860858
0.74117200 0.01998670
0.72202137 0.02134981
0.70286774 0.02270193
0.68374412 0.02404404
0.66462849 0.02536916
0.64551287 0.02668327
0.62642725 0.02798838
0.60732862 0.02928349
0.58825500 0.03056860
0.56918538 0.03184371
0.55011876 0.03310581
0.53107614 0.03434992
0.51202352 0.03557502
0.49303091 0.03677213
0.47396729 0.03794723
0.45487266 0.03908932
0.43587305 0.04019242
0.41691744 0.04124851
0.39813584 0.04224859
0.37949126 0.04318867
0.36486901 0.04388373
0.35569023 0.04429877
0.34216208 0.04487781
0.32248441 0.04563988
0.30229970 0.04630394
0.28276103 0.04681098
0.26396444 0.04715101
0.24547887 0.04732102
0.22713431 0.04731402
0.20896876 0.04710900
0.19100024 0.04668997
0.17333373 0.04602791
0.15601126 0.04507883
0.13927784 0.04381372
0.12329148 0.04222159
0.10823120 0.04034643
0.09426701 0.03826725
0.08165094 0.03608107
0.07048799 0.03384688
0.06078217 0.03162269
0.05242546 0.02946350
0.04528385 0.02742833
0.03916233 0.02552717
0.03386988 0.02374402
0.02923448 0.02204587
0.02511413 0.02039273
0.02139082 0.01875359
0.01790252 0.01706545
0.01450623 0.01525230
0.01116495 0.01327313
0.00797968 0.01116195
0.00415035 0.00815369
0.00247521 0.00638554
0.00082707 0.00377632
0.00000000 0.00000000
0.00000000 0.00000000
0.00000500 -0.00039603
0.00002500 -0.00078007
0.00099908 -0.00426436
0.00273123 -0.00668057
0.00506843 -0.00865774
0.00793967 -0.01029788
0.01120295 -0.01163999
0.01457424 -0.01268108
0.01795153 -0.01348415
0.02141682 -0.01412520
0.02512314 -0.01468925
0.02923148 -0.01524630
0.03386188 -0.01581534
0.03915533 -0.01639939
0.04527885 -0.01699444
0.05242346 -0.01757849
0.06078017 -0.01811954
0.07048599 -0.01860958
0.08164894 -0.01903662
0.09426501 -0.01935865
0.10822820 -0.01954266
0.12328848 -0.01960067
0.13927584 -0.01957866
0.15600926 -0.01950566
0.17333173 -0.01937865
0.19099823 -0.01918063
0.20896676 -0.01889861
0.22713231 -0.01853458
0.24547687 -0.01810854
0.26396144 -0.01764050
0.28275803 -0.01713646
0.30229670 -0.01659041
0.32248141 -0.01600536
0.34215908 -0.01541731
0.35568723 -0.01500628
0.36486701 -0.01472625
0.37948926 -0.01427421
0.39813384 -0.01369516
0.41691544 -0.01310911
0.43587105 -0.01252106
0.45487066 -0.01193501
0.47396529 -0.01135697
0.49302791 -0.01078992
0.51202152 -0.01023987
0.53107314 -0.00970382
0.55011576 -0.00918378
0.56918338 -0.00868074
0.58825400 -0.00819470
0.60732762 -0.00772666
0.62642625 -0.00727462
0.64551187 -0.00683958
0.66462749 -0.00641955
0.68374312 -0.00601451
0.70286674 -0.00561848
0.72202037 -0.00524045
0.74117100 -0.00487841
0.76036063 -0.00452838
0.77955026 -0.00420136
0.79875689 -0.00388433
0.81796153 -0.00358831
0.83715816 -0.00330228
0.85634179 -0.00304026
0.87549742 -0.00278824
0.89459004 -0.00255822
0.91354465 -0.00234920
0.93218624 -0.00217018
0.95013776 -0.00201917
0.96675517 -0.00190216
0.98129541 -0.00181215
0.99332943 -0.00175415
1.00000000 -0.00172515
