HS 3.5/12
1.00000000 0.00000000
0.95000000 0.00812000
0.90000000 0.01475000
0.80000000 0.02870000
0.70000000 0.04250000
0.60000000 0.05902000
0.50000000 0.07516000
0.40000000 0.08901000
0.30000000 0.09500000
0.25000000 0.09415000
0.20000000 0.09099000
0.15000000 0.08380000
0.10000000 0.07120000
0.07500000 0.06233000
0.05000000 0.05050000
0.02500000 0.03449000
0.02078000 0.03116100
0.01664300 0.02760400
0.01250000 0.02369000
0.00593800 0.01642400
0.00111000 0.00836500
0.00000000 0.00000000
0.00000000 0.00000000
0.00437300 -0.00856700
0.01250000 -0.01473000
0.01657700 -0.01620600
0.02076200 -0.01709200
0.02500000 -0.01770000
0.05000000 -0.02102000
0.07500000 -0.02250000
0.10000000 -0.02280000
0.15000000 -0.02329000
0.20000000 -0.02410000
0.25000000 -0.02498000
0.30000000 -0.02500000
0.40000000 -0.02700000
0.50000000 -0.03085000
0.60000000 -0.03220000
0.70000000 -0.03061000
0.80000000 -0.02392000
0.90000000 -0.01450000
0.95000000 -0.00811000
1.00000000 0.00000000
